timestamp_utc,lat,lon,depth_m,region,u_ms,v_ms,current_speed_ms
2025-06-01T00:00:00+00:00,6.0,80.0,0.0,Bay of Bengal,0.01425,-0.25751,0.2579
2025-06-01T00:00:00+00:00,6.0,81.0,0.0,Bay of Bengal,0.01311,-0.25985,0.26018
2025-06-01T00:00:00+00:00,6.0,82.0,0.0,Bay of Bengal,0.01179,-0.26201,0.26227
2025-06-01T00:00:00+00:00,6.0,83.0,0.0,Bay of Bengal,0.01031,-0.26396,0.26416
2025-06-01T00:00:00+00:00,6.0,84.0,0.0,Bay of Bengal,0.00868,-0.2657,0.26585
2025-06-01T00:00:00+00:00,6.0,85.0,0.0,Bay of Bengal,0.00693,-0.26724,0.26733
2025-06-01T00:00:00+00:00,6.0,86.0,0.0,Bay of Bengal,0.00506,-0.26857,0.26862
2025-06-01T00:00:00+00:00,6.0,87.0,0.0,Bay of Bengal,0.00311,-0.26968,0.2697
2025-06-01T00:00:00+00:00,6.0,88.0,0.0,Bay of Bengal,0.00109,-0.27058,0.27058
2025-06-01T00:00:00+00:00,6.0,89.0,0.0,Bay of Bengal,-0.00098,-0.27125,0.27126
2025-06-01T00:00:00+00:00,6.0,90.0,0.0,Bay of Bengal,-0.00307,-0.27171,0.27173
2025-06-01T00:00:00+00:00,6.0,91.0,0.0,Bay of Bengal,-0.00516,-0.27195,0.272
2025-06-01T00:00:00+00:00,6.0,92.0,0.0,Bay of Bengal,-0.00723,-0.27197,0.27206
2025-06-01T00:00:00+00:00,6.0,93.0,0.0,Bay of Bengal,-0.00925,-0.27176,0.27192
2025-06-01T00:00:00+00:00,6.0,94.0,0.0,Bay of Bengal,-0.01121,-0.27135,0.27158
2025-06-01T00:00:00+00:00,6.0,95.0,0.0,Bay of Bengal,-0.01307,-0.27071,0.27103
2025-06-01T00:00:00+00:00,6.0,96.0,0.0,Bay of Bengal,-0.01483,-0.26986,0.27027
2025-06-01T00:00:00+00:00,6.0,97.0,0.0,Bay of Bengal,-0.01645,-0.26881,0.26931
2025-06-01T00:00:00+00:00,6.0,98.0,0.0,Bay of Bengal,-0.01794,-0.26754,0.26814
2025-06-01T00:00:00+00:00,7.0,80.0,0.0,Bay of Bengal,-0.01297,-0.25786,0.25818
2025-06-01T00:00:00+00:00,7.0,81.0,0.0,Bay of Bengal,-0.01521,-0.2602,0.26065
2025-06-01T00:00:00+00:00,7.0,82.0,0.0,Bay of Bengal,-0.01732,-0.26236,0.26293
2025-06-01T00:00:00+00:00,7.0,83.0,0.0,Bay of Bengal,-0.01925,-0.26431,0.26501
2025-06-01T00:00:00+00:00,7.0,84.0,0.0,Bay of Bengal,-0.02099,-0.26605,0.26688
2025-06-01T00:00:00+00:00,7.0,85.0,0.0,Bay of Bengal,-0.02252,-0.26759,0.26854
2025-06-01T00:00:00+00:00,7.0,86.0,0.0,Bay of Bengal,-0.02379,-0.26892,0.26997
2025-06-01T00:00:00+00:00,7.0,87.0,0.0,Bay of Bengal,-0.0248,-0.27003,0.27117
2025-06-01T00:00:00+00:00,7.0,88.0,0.0,Bay of Bengal,-0.02554,-0.27093,0.27213
